doi,volume,issue,start page,end page,title,authors
10.1155/1909/83120,16,3,58,64,"Incidental Captures of Lepidoptera at Plano, Texas",E. S. Tucker
10.1155/1909/86782,16,3,67,68,Coleoptera Taken at Framingham,C. A. Frost
10.1155/1909/90198,16,1,1,4,North American Henicocephalidae,O. A. Johannsen
10.1155/1909/91454,16,5,106,110,"Oligosita amerigana Ashmead Species Nova, a New Chalcidoid of the Fabily Trichogrammidae From Illinois",A. A. Girault
10.1155/1909/93761,16,1,12,12,Melanoplus harrisii N. Sp.,A. P. Morse
10.1155/1909/95028,16,5,112,112,The Arachnida of the Galapagos Islands,Karl R. Coolidge
10.1155/1909/97343,16,1,13,16,"The Food Plant of Enarmonia Tristrigana, Clemens",C. A. Frost
10.1155/1909/98590,16,5,114,114,Convocation Week Meetings in Boston,
10.1155/1910/23843,17,3,122,124,Reviews,
10.1155/1910/26170,17,1,37,37,Recent Literature,Charles T. Brues
10.1155/1910/41741,17,2,78,78,Book Reviews,Charles T. Brues
10.1155/1910/46314,17,2,81,82,Book Reviews,C. T. Brues
10.1155/1910/64212,17,1,28,28,The Harris Memorial Tablet,W. L. W. Field
10.1155/1910/65467,17,3,118,121,Proceedings of the Cambridge Entomological Club,
10.1155/1910/72546,17,1,38,40,Fifth Meeting of the Entomological Society of America,
10.1155/1910/79027,17,6,258,258,Reviews,Frederick Blanchard
10.1155/1910/93946,17,4,169,176,Reviews,
10.1155/1912/17405,19,1,22,22,Second International Congress of Entomology,
10.1155/1912/23424,19,3,111,111,Errata,
10.1155/1912/62720,19,6,183,183,Book Notice,C. W. J.
10.1155/1912/63791,19,1,22,23,The Washington Meeting of the Entomological Society of America,
10.1155/1912/65047,19,3,110,111,Book Notices,
10.1155/1912/82863,19,6,208,208,Correction,
10.1155/1914/43180,21,2,76,79,The Phorid Genus Platyphora in America,Charles T. Brues
10.1155/1914/78548,21,6,199,199,Correction,
10.1155/1914/85894,21,2,75,76,Note on the Habits of Liomyrmex,William Morton Wheeler
10.1155/1914/94139,21,2,83,83,Book Notice,W. L. W. Field
10.1155/1915/28068,22,6,220,220,Errata and Corrigenda,
10.1155/1915/87325,22,2,64,64,Book Reviews,
10.1155/1916/17861,23,1,25,25,Dr. Frederick William Russell,
10.1155/1916/19127,23,4,128,129,Book Review,H. M. Parshley
10.1155/1916/96209,23,3,94,94,Cora H. Clarke,
10.1155/1917/21718,24,3,91,98,New Miscellaneous Chalcid-Flies From North America,A. A. Girault
10.1155/1918/69793,25,2,36,36,Book Reviews,Charles T. Brues
10.1155/1920/50694,27,5,127,128,Proceedings of the Cambridge Entomological Club,
10.1155/1920/53021,27,1,20,20,Entomological Notes From: The Museum of Comparative Zoology,
10.1155/1920/69494,27,2-3,66,66,Proceedings of the Cambridge Entomological Club,
10.1155/1920/85074,27,4,87,88,Proceedings of the Cambridge Entomological Club,
10.1155/1920/95726,27,1,19,20,Proceedings of the Cambridge Entomological Club,
10.1155/1920/96971,27,5,129,129,Book Reviews,Albert P. Morse
10.1155/1921/41982,28,2,61,61,Proceedings of the Cambridge Entomological Club,
10.1155/1921/69135,28,1,29,29,Proceedings of the Cambridge Entomological Club,
10.1155/1921/82389,28,5-6,168,169,Proceedings of the Cambridge Entomological Club,
10.1155/1921/96514,28,3,92,93,Proceedings of the Cambridge Entomological Club,
10.1155/1922/17982,29,3,123,125,Proceedings of the Cambridge Entomological Club,
10.1155/1923/27482,30,1,36,39,Proceedings of the Cambridge Entomological Club,
10.1155/1923/35818,30,2,51,51,The Zoological Record,
10.1155/1923/48972,30,6,227,228,Proceedings of the Cambridge Entomological Club,
10.1155/1923/51398,30,2,93,94,Proceedings of the Cambridge Entomological Club,
